Question,Option A,Option B,Option C,Option D,Correct Answer,Difficulty,Marks,Tags
What is the output of int x = 5; x += 3;,3,5,8,Compilation error,3,easy,1,java;variables;operators
Which of the following data types has the largest range?,long,int,short,byte,1,medium,2,java;data-types;primitive
What is variable hoisting in Java?,Variables are moved to top of scope,Variables are duplicated,Variables change type,No such concept,4,medium,2,java;variables;concepts
Can we convert a String to int directly?,Yes,No,Only with try-catch,Only with Integer.parseInt(),3,medium,2,java;data-types;type-conversion
What is the result of Integer.parseInt("123") + 1;,124,1231,Compilation error,Type error,1,easy,1,java;wrapper-classes;conversion
Which operator is used for type casting in Java?,as,cast,(),@,3,easy,1,java;data-types;operators
What is the difference between == and .equals() for objects?,No difference,== checks reference while .equals() checks value,== checks value while .equals() checks reference,Both are the same,2,medium,2,java;variables;equality
Can an array be considered a primitive data type?,Yes,No,Only for int arrays,Only in inheritance,2,easy,1,java;data-types;arrays
What is the maximum value an int can hold in Java?,2147483647,9223372036854775807,2^32-1,100000,1,medium,2,java;data-types;primitive
Which wrapper class is used for the boolean primitive type?,Boolean,Bool,BooleanClass,BoolWrapper,1,medium,2,java;data-types;wrapper-classes
What happens when we use + on two Strings in Java?,Concatenation,Addition,Error,Undefined behavior,1,easy,1,java;strings;operators
How do we print the type of a variable in Java?,System.out.println(typeof variable);,System.out.println(variable.getClass());,System.out.println(Type.of(variable));,System.out.println(var.type);,2,medium,2,java;variables;introspection
Can we change the type of a variable once declared?,No,Yes,Only through casting,Only in inheritance,1,easy,1,java;variables;types
