questionId,sourceType,sourceId,skillKey,skillName,prompt,optionA,optionB,optionC,optionD,correctOption,correctAnswerText,difficulty,difficultyWord,difficultyNumeric,factKeys,tags,active,contribution,questionType,marks,subject,description,explanation,codeSnippet,expectedOutput,source
b117f9c1e0dbc3339284e344,question,b117f9c1e0dbc3339284e344,APTITUDE_DATA_INTERPRETATION,Data Interpretation,A bag has 3 red and 2 blue balls. Probability of red?,2/5,3/5,1/5,5/3,B,3/5,medium,medium,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 3/5.,Correct statistical result/concept: 3/5.,,,question-bank-xlsx
fa88edd616e925c853a88cdd,question,fa88edd616e925c853a88cdd,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Students: CSE=60,ECE=50,ME=40. How many more CSE than ME?",10,20,40,100,B,20,easy,easy,,,Tables | Read and Compare Tables | Core,,PRIMARY,mcq_single,1,Data Interpretation,Reading/calculating the values gives 20.,Reading/calculating the values gives 20.,,,question-bank-xlsx
fd88f28fb5209f7953a7eea6,question,fd88f28fb5209f7953a7eea6,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Bar values: Python 30, C 20, Java 25. Which is highest?",Python,C,Java,Equal,A,Python,medium,medium,,,Bar Charts | Compare Categories | Core,,PRIMARY,mcq_single,1,Data Interpretation,Chart values imply Python.,Chart values imply Python.,,,question-bank-xlsx
fc88f0fc5358192a53a7506f,question,fc88f0fc5358192a53a7506f,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Bar values: Week1 12, Week2 18, Week3 15. Increase W1→W2?",3,6,12,30,B,6,medium,medium,,,Bar Charts | Compare Categories | Core,,PRIMARY,mcq_single,1,Data Interpretation,Chart values imply 6.,Chart values imply 6.,,,question-bank-xlsx
ff88f5b5f18f92db53a6b238,question,ff88f5b5f18f92db53a6b238,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Bar values: A 40, B 50, C 30. Total?",80,90,120,150,C,120,medium,medium,,,Bar Charts | Compare Categories | Core,,PRIMARY,mcq_single,1,Data Interpretation,Chart values imply 120.,Chart values imply 120.,,,question-bank-xlsx
fe88f4228fc70c8c53a61401,question,fe88f4228fc70c8c53a61401,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Bar values: Red 10, Blue 20, Green 20. Which are tied highest?",Red and Blue,Blue and Green,Red and Green,All,B,Blue and Green,medium,medium,,,Bar Charts | Compare Categories | Core,,PRIMARY,mcq_single,1,Data Interpretation,Chart values imply Blue and Green.,Chart values imply Blue and Green.,,,question-bank-xlsx
0188f8db2dfe863d53a575ca,question,0188f8db2dfe863d53a575ca,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Bar values: Q1 100, Q2 125. Percentage increase?",20%,25%,30%,125%,B,25%,medium,medium,,,Bar Charts | Compare Categories | Core,,PRIMARY,mcq_single,1,Data Interpretation,Chart values imply 25%.,Chart values imply 25%.,,,question-bank-xlsx
0088f748cc35ffee53a4d793,question,0088f748cc35ffee53a4d793,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Trend values over 4 days: 10,12,15,18. Overall trend?",Increasing,Decreasing,Constant,Random only,A,Increasing,easy,easy,,,Line Charts | Trend Interpretation | Core,,PRIMARY,mcq_single,1,Data Interpretation,The values show increasing behavior.,The values show increasing behavior.,,,question-bank-xlsx
1386d69a3c298516f246967f,question,1386d69a3c298516f246967f,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Values: 20,18,16,14. Overall trend?",Increasing,Decreasing,Constant,Cannot tell,B,Decreasing,easy,easy,,,Line Charts | Trend Interpretation | Core,,PRIMARY,mcq_single,1,Data Interpretation,The values show decreasing behavior.,The values show decreasing behavior.,,,question-bank-xlsx
1486d82dda60fec7f24734b6,question,1486d82dda60fec7f24734b6,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Traffic: Mon=100,Tue=150,Wed=120. Peak day?",Monday,Tuesday,Wednesday,Equal,B,Tuesday,easy,easy,,,Line Charts | Trend Interpretation | Core,,PRIMARY,mcq_single,1,Data Interpretation,The values show tuesday behavior.,The values show tuesday behavior.,,,question-bank-xlsx
1186d37478987878f247d2ed,question,1186d37478987878f247d2ed,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Temperature: 30,30,30,30. Trend?",Increasing,Decreasing,Constant,Oscillating,C,Constant,easy,easy,,,Line Charts | Trend Interpretation | Core,,PRIMARY,mcq_single,1,Data Interpretation,The values show constant behavior.,The values show constant behavior.,,,question-bank-xlsx
1286d50716cff229f2487124,question,1286d50716cff229f2487124,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Dataset 65,70,75,80,95. Highest?",65,75,80,95,D,95,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: 95.,Correct interpretation: 95.,,,question-bank-xlsx
0f86d04eb5076bdaf2490f5b,question,0f86d04eb5076bdaf2490f5b,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Dataset 65,70,75,80,95. Lowest?",65,70,80,95,A,65,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: 65.,Correct interpretation: 65.,,,question-bank-xlsx
1086d1e1533ee58bf249ad92,question,1086d1e1533ee58bf249ad92,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Dataset 10,20,30,40. Average?",20,25,30,100,B,25,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: 25.,Correct interpretation: 25.,,,question-bank-xlsx
0d86cd28f1765f3cf24a4bc9,question,0d86cd28f1765f3cf24a4bc9,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Dataset 4,8,12,16. Range?",4,8,12,16,C,12,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: 12.,Correct interpretation: 12.,,,question-bank-xlsx
0e86cebb8fadd8edf2410690,question,0e86cebb8fadd8edf2410690,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Dataset 1,1,2,3,3,3. Mode?",1,2,3,13,C,3,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: 3.,Correct interpretation: 3.,,,question-bank-xlsx
0b86ca022de5529ef241a4c7,question,0b86ca022de5529ef241a4c7,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If every value doubles, what happens to the mean?",It halves,It doubles,It stays same,It becomes zero,B,It doubles,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: It doubles.,Correct interpretation: It doubles.,,,question-bank-xlsx
0c86cb95cc1ccc4ff24242fe,question,0c86cb95cc1ccc4ff24242fe,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If one value is missing from a table, what is safest?",Guess a value,Mark/verify the missing value rather than inventing it,Delete the table,Use zero always,B,Mark/verify the missing value rather than inventing it,medium,medium,,,Basic Data Reasoning | Summary and Data Handling | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct interpretation: Mark/verify the missing value rather than inventing it.,Correct interpretation: Mark/verify the missing value rather than inventing it.,,,question-bank-xlsx
858e45d53c1051779ebce8c8,question,858e45d53c1051779ebce8c8,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Ages: 18,19,18,250,19. Which value most likely needs verification?",18,19,250,All equally,C,250,medium,medium,,,Data Quality | Missing Invalid Duplicate Data | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct data-quality interpretation: 250.,Correct data-quality interpretation: 250.,,,question-bank-xlsx
848e4442da47cb289ebec36d,question,848e4442da47cb289ebec36d,APTITUDE_DATA_INTERPRETATION,Data Interpretation,Marks should be 0-100. Value 135 appears. Best action?,Accept automatically,Verify/correct the value,Multiply all marks,Delete course,B,Verify/correct the value,medium,medium,,,Data Quality | Missing Invalid Duplicate Data | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct data-quality interpretation: Verify/correct the value.,Correct data-quality interpretation: Verify/correct the value.,,,question-bank-xlsx
838e42af787f44d99ebe2536,question,838e42af787f44d99ebe2536,APTITUDE_DATA_INTERPRETATION,Data Interpretation,A required name field is blank. This is an example of…,perfect data,missing data,binary data only,a CPU error,B,missing data,medium,medium,,,Data Quality | Missing Invalid Duplicate Data | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct data-quality interpretation: missing data.,Correct data-quality interpretation: missing data.,,,question-bank-xlsx
828e411c16b6be8a9ebfffdb,question,828e411c16b6be8a9ebfffdb,APTITUDE_DATA_INTERPRETATION,Data Interpretation,The same student record appears twice. This is…,missing data,duplicate data,encryption,sorting,B,duplicate data,medium,medium,,,Data Quality | Missing Invalid Duplicate Data | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct data-quality interpretation: duplicate data.,Correct data-quality interpretation: duplicate data.,,,question-bank-xlsx
818e3f89b4ee383b9ebf61a4,question,818e3f89b4ee383b9ebf61a4,APTITUDE_DATA_INTERPRETATION,Data Interpretation,Two dates use formats 08/09/2026 and 2026-09-08. Main issue?,too much RAM,inconsistent formatting,wrong CPU,no internet,B,inconsistent formatting,medium,medium,,,Data Quality | Missing Invalid Duplicate Data | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct data-quality interpretation: inconsistent formatting.,Correct data-quality interpretation: inconsistent formatting.,,,question-bank-xlsx
808e3df65325b1ec9ec13c49,question,808e3df65325b1ec9ec13c49,APTITUDE_DATA_INTERPRETATION,Data Interpretation,Why validate data before analysis?,Validation makes data random,Errors can lead to misleading conclusions,It deletes all data,It removes need for logic,B,Errors can lead to misleading conclusions,medium,medium,,,Data Quality | Missing Invalid Duplicate Data | Core,,PRIMARY,mcq_single,1,Data Interpretation,Correct data-quality interpretation: Errors can lead to misleading conclusions.,Correct data-quality interpretation: Errors can lead to misleading conclusions.,,,question-bank-xlsx
c68a76ee8d50b36a9d91b37d,question,c68a76ee8d50b36a9d91b37d,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 18 + 7?,25,23,27,35,A,25,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 25.,Applying arithmetic rules gives 25.,,,question-bank-xlsx
c78a78812b882d1b9d8d5ffc,question,c78a78812b882d1b9d8d5ffc,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 42 - 17?,15,25,29,59,B,25,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 25.,Applying arithmetic rules gives 25.,,,question-bank-xlsx
c08a6d7cc9bfa6cc9d8dfe33,question,c08a6d7cc9bfa6cc9d8dfe33,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 8 × 9?,17,64,72,81,C,72,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 72.,Applying arithmetic rules gives 72.,,,question-bank-xlsx
c18a6f0f67f7207d9d8e9c6a,question,c18a6f0f67f7207d9d8e9c6a,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 84 ÷ 7?,7,12,14,21,B,12,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 12.,Applying arithmetic rules gives 12.,,,question-bank-xlsx
ce8cc21dd7eaa5a5ff0a87ce,question,ce8cc21dd7eaa5a5ff0a87ce,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 3/4 as a decimal?,0.25,0.5,0.75,1.25,C,0.75,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 0.75.,Applying arithmetic rules gives 0.75.,,,question-bank-xlsx
cd8cc08a76221f56ff09e997,question,cd8cc08a76221f56ff09e997,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 5 + (-2)?,-7,-3,3,7,C,3,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 3.,Applying arithmetic rules gives 3.,,,question-bank-xlsx
cc8cbef714599907ff094b60,question,cc8cbef714599907ff094b60,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"Using normal order of operations, what is 6 + 2 × 2?",8,10,16,20,B,10,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 10.,Applying arithmetic rules gives 10.,,,question-bank-xlsx
cb8cbd64b29112b8ff0d9ee1,question,cb8cbd64b29112b8ff0d9ee1,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is (15 - 5) × 2?,5,10,20,30,C,20,easy,easy,,,Basic Arithmetic | Arithmetic Operations | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Applying arithmetic rules gives 20.,Applying arithmetic rules gives 20.,,,question-bank-xlsx
ca8cbbd150c88c69ff0d00aa,question,ca8cbbd150c88c69ff0d00aa,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 10% of 200?,10,30,200,20,D,20,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,200 × 10/100 = 20.,200 × 10/100 = 20.,,,question-bank-xlsx
c98cba3eef00061aff0c6273,question,c98cba3eef00061aff0c6273,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 20% of 450?,450,80,90,100,C,90,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,450 × 20/100 = 90.,450 × 20/100 = 90.,,,question-bank-xlsx
c88cb8ab8d377fcbff0bc43c,question,c88cb8ab8d377fcbff0bc43c,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 25% of 80?,30,80,10,20,D,20,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,80 × 25/100 = 20.,80 × 25/100 = 20.,,,question-bank-xlsx
c78cb7182b6ef97cff1017bd,question,c78cb7182b6ef97cff1017bd,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 15% of 1200?,190,170,180,1200,C,180,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,1200 × 15/100 = 180.,1200 × 15/100 = 180.,,,question-bank-xlsx
c68cb585c9a6732dff0f7986,question,c68cb585c9a6732dff0f7986,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 50% of 60?,40,20,60,30,D,30,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,60 × 50/100 = 30.,60 × 50/100 = 30.,,,question-bank-xlsx
c58cb3f267ddecdeff0edb4f,question,c58cb3f267ddecdeff0edb4f,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 8% of 250?,30,250,10,20,D,20,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,250 × 8/100 = 20.,250 × 8/100 = 20.,,,question-bank-xlsx
348fa146d7d172066136966d,question,348fa146d7d172066136966d,APTITUDE_DATA_INTERPRETATION,Data Interpretation,What is 30% of 90?,17,37,27,90,C,27,medium,medium,,,Percentages | Percentage Calculation | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,90 × 30/100 = 27.,90 × 30/100 = 27.,,,question-bank-xlsx
358fa2d97608ebb76134bbc8,question,358fa2d97608ebb76134bbc8,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If the ratio is 2:3 and the first quantity is 10, what should the second quantity be?",18,10,15,12,C,15,medium,medium,,,Ratios & Proportions | Direct Proportion | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Scale both sides of 2:3 by the same factor; the second quantity is 15.,Scale both sides of 2:3 by the same factor; the second quantity is 15.,,,question-bank-xlsx
328f9e2014406568613559ff,question,328f9e2014406568613559ff,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If the ratio is 3:5 and the first quantity is 12, what should the second quantity be?",20,15,25,12,A,20,medium,medium,,,Ratios & Proportions | Direct Proportion | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Scale both sides of 3:5 by the same factor; the second quantity is 20.,Scale both sides of 3:5 by the same factor; the second quantity is 20.,,,question-bank-xlsx
338f9fb3b277df1961387112,question,338f9fb3b277df1961387112,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If the ratio is 4:7 and the first quantity is 8, what should the second quantity be?",7,8,14,21,C,14,medium,medium,,,Ratios & Proportions | Direct Proportion | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Scale both sides of 4:7 by the same factor; the second quantity is 14.,Scale both sides of 4:7 by the same factor; the second quantity is 14.,,,question-bank-xlsx
388fa79250af58ca61390f49,question,388fa79250af58ca61390f49,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If the ratio is 5:2 and the first quantity is 25, what should the second quantity be?",8,12,25,10,D,10,medium,medium,,,Ratios & Proportions | Direct Proportion | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Scale both sides of 5:2 by the same factor; the second quantity is 10.,Scale both sides of 5:2 by the same factor; the second quantity is 10.,,,question-bank-xlsx
398fa925eee6d27b613734a4,question,398fa925eee6d27b613734a4,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If the ratio is 1:4 and the first quantity is 6, what should the second quantity be?",6,20,28,24,D,24,medium,medium,,,Ratios & Proportions | Direct Proportion | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Scale both sides of 1:4 by the same factor; the second quantity is 24.,Scale both sides of 1:4 by the same factor; the second quantity is 24.,,,question-bank-xlsx
368fa46c8d1e4c2c6137d2db,question,368fa46c8d1e4c2c6137d2db,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"If the ratio is 7:3 and the first quantity is 21, what should the second quantity be?",21,12,9,6,C,9,medium,medium,,,Ratios & Proportions | Direct Proportion | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Scale both sides of 7:3 by the same factor; the second quantity is 9.,Scale both sides of 7:3 by the same factor; the second quantity is 9.,,,question-bank-xlsx
378fa5ff2b55c5dd6131067e,question,378fa5ff2b55c5dd6131067e,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the average of 10, 20, 30?",15,60,25,20,D,20,medium,medium,,,Averages | Mean | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Average = 60 ÷ 3 = 20.,Average = 60 ÷ 3 = 20.,,,question-bank-xlsx
3c8faddec98d3f8e6131a4b5,question,3c8faddec98d3f8e6131a4b5,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the average of 15, 15, 30?",20,25,60,15,A,20,medium,medium,,,Averages | Mean | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Average = 60 ÷ 3 = 20.,Average = 60 ÷ 3 = 20.,,,question-bank-xlsx
3d8faf7167c4b93f612fca10,question,3d8faf7167c4b93f612fca10,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the average of 60, 70, 80, 90?",300,75,70,80,B,75,medium,medium,,,Averages | Mean | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Average = 300 ÷ 4 = 75.,Average = 300 ÷ 4 = 75.,,,question-bank-xlsx
3a91e94fd7b83e67c2ae2e50,question,3a91e94fd7b83e67c2ae2e50,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the average of 5, 7, 9, 11?",13,32,3,8,D,8,medium,medium,,,Averages | Mean | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Average = 32 ÷ 4 = 8.,Average = 32 ÷ 4 = 8.,,,question-bank-xlsx
3991e7bc75efb818c2b008f5,question,3991e7bc75efb818c2b008f5,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the average of 40, 50, 60, 70, 80?",65,300,60,55,C,60,medium,medium,,,Averages | Mean | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Average = 300 ÷ 5 = 60.,Average = 300 ÷ 5 = 60.,,,question-bank-xlsx
c89746078cd2b14f863a58a8,question,c89746078cd2b14f863a58a8,APTITUDE_DATA_INTERPRETATION,Data Interpretation,A fair coin is tossed once. Probability of heads?,0,1/4,1/2,1,C,1/2,easy,easy,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 1/2.,Correct statistical result/concept: 1/2.,,,question-bank-xlsx
c79744742b0a2b008639ba71,question,c79744742b0a2b008639ba71,APTITUDE_DATA_INTERPRETATION,Data Interpretation,A fair die is rolled. Probability of getting 3?,1/2,1/3,1/6,3/6,C,1/6,easy,easy,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 1/6.,Correct statistical result/concept: 1/6.,,,question-bank-xlsx
be973649c941a4b186391c3a,question,be973649c941a4b186391c3a,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the median of 2, 5, 9?",2,5,9,16,B,5,easy,easy,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 5.,Correct statistical result/concept: 5.,,,question-bank-xlsx
bd9734b667791e6286387e03,question,bd9734b667791e6286387e03,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the mode of 2,2,3,4?",2,3,4,11,A,2,easy,easy,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 2.,Correct statistical result/concept: 2.,,,question-bank-xlsx
af17f69ba46ccfd192861fb2,question,af17f69ba46ccfd192861fb2,APTITUDE_DATA_INTERPRETATION,Data Interpretation,"What is the mean of 4,6,8?",4,6,8,18,B,6,easy,easy,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: 6.,Correct statistical result/concept: 6.,,,question-bank-xlsx
ae17f50842a449829285817b,question,ae17f50842a449829285817b,APTITUDE_DATA_INTERPRETATION,Data Interpretation,Which measure is the middle value after sorting?,Mean,Median,Mode,Range,B,Median,easy,easy,,,Probability & Statistics | Probability Central Tendency | Core,,PRIMARY,mcq_single,1,Quantitative & Mathematical Foundation,Correct statistical result/concept: Median.,Correct statistical result/concept: Median.,,,question-bank-xlsx
